review_Id,comment_text,author_id,creation_time,rating,creation_date,polarity,Average
1,"really briliant app	it's intuitive and informative giving all the information you could need and seemingly very accurate.","		cid-gp:aoqptohjuxty3ath4xsf2_bnn-rydkmiqfqhkhoah4jznfnyx6ru2yhu0hy3_fojugsr0mckuldu38jyt3lzng","		tue aug 19 00:59:28 nzst 2014",5,19/08/2014 0:59,Good,3.916403785
2,"will not connect to gps	app does not connect to gps no matter how long i have it on. i have gps set on high accuracy and other settings appear to be set as these should be. the app is useless to me  if it can't track my workout.","		cid-gp:aoqptohgogxo9p9k1d453hcml_rvmhxcwwkxgcqs308pdahkrctfyho8lfislt9hl-tdk4ghrmfyhodbdvpilq","		tue aug 19 00:49:59 nzst 2014",1,19/08/2014 0:49,Bad,
3,wish this would interest more with google now to provide weekly or monthly summaries.,"		cid-lg:aoqptof-nep9vwotjixcxlursolwjmexeolax0ibac57oneagvusqrqkrnjkjlnt2e0zsszbes4psgnmywj5zw","		tue aug 19 00:47:52 nzst 2014",5,19/08/2014 0:47,Good,
4,"useless	does not talk to gps on the phone. 20 minute run no data.","		cid-gp:aoqptoguwb6yfkwb2kmd5xvnnt5yvkjyu7hykshe71jovaxdvg2q6mcrzdemsce6ti67mp9ksmj9ahi-ivpcra","		mon aug 18 21:24:24 nzst 2014",1,18/08/2014 21:24,Bad,
5,"great app	so glad i used this it tracks perfectly.","		cid-gp:aoqptohj4bsv-kkzkzjsxb6rriv92q8ctarw1wlxehdlhpsz8i9vxtjyf0arahocgxo4ydqxazvro4qybdoylg","		mon aug 18 13:13:06 nzst 2014",4,18/08/2014 13:13,Good,
6,"excellent	thank you.","		cid-gp:aoqptoh0v9l0ns0tdaoycq61zzzgccjwvkhj_vk_jo_qzcn2zewyugbvf54h3yzeutl5ob0khaczrswzn4f7za","		mon aug 18 06:27:31 nzst 2014",5,18/08/2014 6:27,Good,
7,"update	i wish this app had quick sharing where i could view on any device without drive and ability to view on google maps instead of google earthadv version of maps cuz i do most of my home stuff on my tablet and exercise with my phone it just a hassle.. overall i like the app it needs a update to keep up with rest of the google products and become more competitive with other products.","		cid-gp:aoqptogk-1xn8jwdbiuyzy_glfrhleh0w04zckddk_0a594wgjxffdpqaqaign8vodxvso4taa0ygnaxt777aw","		mon aug 18 05:13:12 nzst 2014",4,18/08/2014 5:13,Good,
8,"nice but needs work	used this app a few times now and every time it takes an age to locate my position via gps. changing to other apps i have that rely on gps they locate me straight away. return to this app and it is still searching. last time it took over five minutes to locate my position this took some of the enjoyment out of using this app. will continue to use this to see if it improves. 3/5.","		cid-gp:aoqptofg5mqihdotgl2o5fl9utr8bp3c1dyui2xebdaf23s6xusemnvuhun2k5w5t3zqab34vkgeaf8dum5lqw","		mon aug 18 03:54:01 nzst 2014",3,18/08/2014 3:54,Good,
9,"dr anand venugopal	too good.","		cid-gp:aoqptofp0igz8xbm9dg8t0vmjqjfiwnkk6fvwcbxskdhbtz5qmsceuxj2sksz46lyjvgmflqge6zv_nh2kss-w","		mon aug 18 03:28:19 nzst 2014",4,18/08/2014 3:28,Good,
10,very interesting app.,"		cid-gp:aoqptoetpj-0y2vklzk1itbmxa1ocjazzeqxmrriodmfwgsculpm08cgfoj9acdtiaregkgao3qoddby9fkvtg","		sun aug 17 22:25:00 nzst 2014",5,17/08/2014 22:25,Good,
11,"brilliant	good solid app.","		cid-gp:aoqptoejqymoqpwahvlrr2tquss3jneqgvxcftdrgqfjcru-beczgri0xmsmqyesr3ijshsaiqlrgkgdjnu_cw","		sun aug 17 20:47:03 nzst 2014",5,17/08/2014 20:47,Good,
12,"like	like.","		cid-gp:aoqptohm2autgpqtdo-6_ezpvlwnn2u-yuxww5v29kos7x8zl-k0opk9o47ptgg7mb8lcb5i9iimm9farlkppg","		sun aug 17 19:02:16 nzst 2014",4,17/08/2014 19:02,Good,
13,superb.,"		cid-gp:aoqptofbftomslzn_r-wrvrxvanybcdb2tutjxfjbov1y5ru4zu-lzjdyqlctvnnzsisydcnozv9s1kdfhuejq","		sun aug 17 17:30:37 nzst 2014",5,17/08/2014 17:30,Good,
14,"just put these features in a google app	just put these features in a google app such as google fit play music or better yet google maps.","		cid-gp:aoqptof2y2cjlhvijc54zfvep4c8hxmjttzwh72tsr-v0mkdmrrujpinmwd4_7shzka5st2bnuhfjvgbstlsvw","		sun aug 17 15:55:03 nzst 2014",3,17/08/2014 15:55,Good,
15,"daily request	without daily request to upload my tracks to cloud 5 stars.  with continuation of these requests 2 stars and will contact fcc.","		cid-gp:aoqptoh76at9oxwddm70apb20n5xcqjftu7mvg1hamfylmgeqz7zm7w_esnxd4fqpqnxxmrzibiddfwz5gkjjw","		sun aug 17 08:24:40 nzst 2014",2,17/08/2014 8:24,Bad,
16,"works great for me	i really like this app not to fancy and cumbersome to use but does just enough to make it useful. the post-workout map recording is neat but a bit of a gimmick and i doubt many would rewatch it. i had no issues with the gps signals as others have reported.   i would like see support for bluetooth health trackers such as the fitbit be added to the app.","		cid-gp:aoqptof7eb7gok528wpqavkkam6i9q76xvswcqjmf0dqf7mhaipvki_ojv0m9lgyvjuclowv8n5ztvekdebffg","		sun aug 17 05:57:20 nzst 2014",4,17/08/2014 5:57,Good,
17,love it.,"		cid-gp:aoqptoh1t0ab6jif_geoa59zjf6k6ti-yg95qibnrtqqkxcsstd7ayjeg1vdrzsxadpo4mselwnsyfwfolftqw","		sun aug 17 02:47:57 nzst 2014",5,17/08/2014 2:47,Good,
18,"not accurate	i've noticed that the speed is not accurate. i don't know about the elevation changes but they seem off also.","		cid-gp:aoqptoeforqafi93-yvxdvyygo7jrlkrsumzqm0iucd_gik-7spi3o4l2koixr-c_oxgeg7urqwqspnm7reiqq","		sun aug 17 02:02:25 nzst 2014",2,17/08/2014 2:02,Bad,
19,"nice	this record our root to help return.","		cid-gp:aoqptogyho-yxtd3zankjsmtvamsoqgu_ip5muhfowj-k2kc-sz5llxk8v5azzz8kl3evivkksxorq9_wvxamw","		sat aug 16 17:43:43 nzst 2014",4,16/08/2014 17:43,Good,
20,"good	very nice apps.","		cid-gp:aoqptofk3zmm2xwurs2bykpellu9tmsswhkb-eyak4awfp20zyjb5ma0omr1hdgkwsuo21oirfsihalkbua01g","		sat aug 16 17:40:00 nzst 2014",5,16/08/2014 17:40,Good,
21,"my track app	i have this app downloaded on my galaxy s lll but it does not show on my screen.how can i use it?.","		cid-gp:aoqptogcpdogrscggeo6czy4zquzfbgyazcp2_8rk0zqsd0ozz6snpwsb37zovzyit7okq_dy2w8xlptdbso9a","		sat aug 16 15:34:18 nzst 2014",3,16/08/2014 15:34,Good,
22,"so far so good.	just started using it on my bike. seems to work ok.  not bad for free.","		cid-gp:aoqptogmpq4dranfmum8wmbssis4j1lsdr0ini2h7mjw6d2hwclk69zp7tmcpjph4mllqljbdadd_d8rmbkd-a","		sat aug 16 13:54:17 nzst 2014",4,16/08/2014 13:54,Good,
23,"nice	good aap.","		cid-gp:aoqptogwgahqhkuzny-rd5shgypfncrtbuqi6mlmv0ff_4xhcwz6-woxq4sfg_9qh5ktrq1n5e0ecapf7ypihw","		sat aug 16 13:15:02 nzst 2014",5,16/08/2014 13:15,Good,
24,"great app	excellent application.","		cid-gp:aoqptogmf4hn1yq4liaiyxtcbljktflkatvr2jkdmcij0obj0inem-0jeszorcwc_tben-46uj1o9a0wto3v6q","		sat aug 16 06:17:41 nzst 2014",4,16/08/2014 6:17,Good,
25,displays wrong distance.,"		cid-gp:aoqptofebp3oa9c1lud7bfkib8bdj_bm7evvad4lium8qdxbixrofaozrxqwhziamovjpesebvmk7zz9dhuleg","		sat aug 16 03:41:33 nzst 2014",1,16/08/2014 3:41,Bad,
26,"no support after 1/1/15	i went to the web site and they said they aren't going to support it after 1/1/15.  still a good app though.","		cid-gp:aoqptohljeg1a8fene-6nm_skyd2qd3svvub_ul27s5e89s715zpiji24anoqxt2wledxrcvwdwu3k1ormo4ig","		sat aug 16 03:01:38 nzst 2014",4,16/08/2014 3:01,Good,
